2018/10/28 17:03:30 [error] 12#0: *44 open() "/var/www/favicon.ico" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/registration-advanced.html"
2018/10/28 17:04:37 [error] 12#0: *51 open() "/var/www/src/assets/logo.svg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/logo.svg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:04:37 [error] 12#0: *51 open() "/var/www/src/assets/img1.jpg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/img1.jpg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:04:37 [error] 12#0: *51 open() "/var/www/src/assets/img2.jpg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/img2.jpg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:05:16 [error] 12#0: *54 open() "/var/www/src/assets/img1.jpg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/img1.jpg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:05:16 [error] 12#0: *54 open() "/var/www/src/assets/img2.jpg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/img2.jpg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:06:49 [error] 12#0: *62 open() "/var/www/favicon.ico" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/inspect.php"
2018/10/28 17:07:02 [error] 12#0: *62 open() "/var/www/favicon.ico" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/inspect.php"
2018/10/28 19:36:32 [error] 12#0: *73 open() "/var/www/favicon.ico" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/installDb.php"
2018/10/28 20:14:55 [error] 15#0: *145 open() "/var/www/favicon.ico" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/28 20:16:43 [error] 15#0: *158 open() "/var/www/src/assets/styles.css" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/styles.css HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/28 20:16:43 [error] 15#0: *158 open() "/var/www/src/assets/dom.js" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/dom.js HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/28 20:16:43 [error] 15#0: *161 open() "/var/www/src/assets/app.js" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/app.js HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/28 20:16:43 [error] 15#0: *161 open() "/var/www/src/assets/logo.svg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/logo.svg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/28 20:16:43 [error] 15#0: *161 open() "/var/www/src/assets/img1.jpg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/img1.jpg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/28 20:16:43 [error] 15#0: *161 open() "/var/www/src/assets/img2.jpg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/img2.jpg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/28 20:16:43 [error] 15#0: *161 open() "/var/www/src/assets/ico.png" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/ico.png HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/28 20:16:45 [error] 15#0: *158 open() "/var/www/src/assets/dom.js" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/dom.js HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/28 20:16:45 [error] 15#0: *161 open() "/var/www/src/assets/styles.css" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/styles.css HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/28 20:16:45 [error] 15#0: *159 open() "/var/www/src/assets/app.js" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/app.js HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/28 20:16:45 [error] 15#0: *159 open() "/var/www/src/assets/logo.svg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/logo.svg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/28 20:16:45 [error] 15#0: *159 open() "/var/www/src/assets/img1.jpg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/img1.jpg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/28 20:16:45 [error] 15#0: *159 open() "/var/www/src/assets/img2.jpg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/img2.jpg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/28 20:17:32 [error] 15#0: *173 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.80.1, server: , request: "POST /src/src/controller.php?action=login HTTP/1.1", upstream: "fastcgi://192.168.80.3:9000", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/28 20:17:55 [error] 15#0: *175 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.80.1, server: , request: "POST /src/src/controller.php?action=login HTTP/1.1", upstream: "fastcgi://192.168.80.3:9000", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=login"
2018/10/29 18:14:20 [error] 6#0: *1 open() "/var/www/favicon.ico" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=styles?dark"
2018/10/29 18:15:06 [error] 6#0: *6 open() "/var/www/favicon.ico" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=styles?dark"
